lat	lon	title	description	icon	iconSize	iconOffset
30.3333333	-110.7343333	La Ruina	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
19.7835654	-98.6696732	San Miguel Ometusco	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
16.761111	-98.179444	Colonia Renacimiento	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
29.1398333	-110.2698333	Rancho San Judas	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
20.1022222	-100.1869444	Chitejé de Garabato	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
28.936	-109.2088333	Tres Cruces	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
26.821	-109.3886667	Granja Mumuncuera	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
21.2008914	-89.2628095	Colonia Santa Rosa	Potentially sparsely mapped place	./unmapped_yellow.png	24,24	-12,-12
20.3913889	-100.065	El Rosario	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
19.0269444	-98.3447222	San Gregorio Atzompa	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
31.4903333	-112.6893333	Rancho San Miguel	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
24.9905691	-105.0389051	Campo Limpio	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
30.5518333	-111.8666667	Las Viguitas (Humberto Lopez Mazon)	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
29.057	-110.1191667	El Sauz	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
29.1078333	-109.8931667	El Pescado	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
30.2916667	-109.623	El Pinalito	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
19.058889	-96.154722	Medellín	Potentially sparsely mapped place	./unmapped_yellow.png	24,24	-12,-12
29.1381667	-111.754	San Francisco 1	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
28.9881667	-111.6203333	El Tlaloc	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
19.9028775	-89.5245686	San Martín	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
31.319	-111.3523333	El Silencio (El Silencioso)	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
26.7068333	-108.7193333	El Maquipito	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
28.7598333	-111.5853333	El Milagro	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
20.933611	-98.196944	Sasaltitla	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
20.2584144	-103.6631119	Pueblo Nuevo	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
20.302222	-98.161944	San Pablito	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
28.6885	-108.8263333	Los Vacitos	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
28.4415	-108.8733333	Los Llanitos	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
28.2041667	-111.2348333	El Retiro	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
29.3048333	-110.8596667	La Milagrosa	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
29.903	-109.4193333	El Cumaro	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
30.6731667	-110.0	Las Milpas de Unamichi	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
30.5046667	-111.2513333	El Sahuarito	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
29.6726667	-110.943	Rancho Rosa Maria Maytorena	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
28.5088333	-111.3535	La Estrella	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
28.6353333	-110.075	El Burro	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
17.437778	-99.468056	Mazatlán	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
32.3898333	-114.8871667	Cooperativa Bonfil	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
27.0299997	-109.483716	Algodonera Ucamayo	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
27.0893333	-109.1066667	El Papalote	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
27.6848333	-109.3045	El Penasco	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
31.05	-110.2206667	San Juan	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
25.1994088	-100.601533	El Castillo	Potentially sparsely mapped place	./unmapped_yellow.png	24,24	-12,-12
20.2506049	-97.8870483	Zihuateutla	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
22.2143076	-102.0515742	Plutarco Elias Calles	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
24.4885735	-106.1472395	Calerita	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
27.5591667	-110.0835	San Jose Bacum	Potentially sparsely mapped place	./unmapped_yellow.png	24,24	-12,-12
30.2691667	-108.9238333	El Bajio del Oso	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
30.4226667	-111.567	La Tula (Los Martinez)	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
30.3375	-109.6386667	El Porvenir	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
28.5176667	-108.5736667	Las Tinajas	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
29.9226667	-110.3403333	El Bajio Lago	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
27.8413333	-109.388	La Calera	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
31.2905	-109.974	Rancho Ramirez	Potentially unmapped place	./unmapped_red.png	24,24	-12,-12
